airport_id,airport_name,city_id
AJR,Arvidsjaur Airport,AJR
AJS,Abreojos,AJS
AJU,Aracaju Airport,AJU
AJY,Agades,AJY
AKA,Ankang,AKA
AKB,Atka,AKB
AKC,Fulton International,CAK
AKD,Akola,AKD
AKE,Akieni,AKE
AKF,Kufrah,AKF
AKG,Anguganak,AKG
AKH,Prince Sultan Air Base,AKH
AKI,Akiak,AKI
AKJ,Asahikawa Airport,AKJ
AKK,Akhiok SPB,AKK
AKL,Auckland Airport,AKL
AKM,Zakouma,AKM
AKN,King Salmon Airport,AKN
AKO,Colorado Plains Regional Airport,AKO
AKP,Anaktuvuk,AKP
AKQ,Gunung Batin,AKQ
AKR,Akure,AKR
AKT,Raf Akrotiri,AKT
AKU,Aksu Airport,AKU
AKV,Akulivik,AKV
AKW,Aghajari,AKW
AKX,Aktyubinsk Airport,AKX
AKY,Civil Airport,AKY
ALA,Almaty Airport,ALA
ALB,Albany International Airport,ALB
ALC,Alicante-Elche Airport,ALC
ALD,Alerta,ALD
ALE,Alpine,ALE
ALF,Alta Airport,ALF
ALG,Houari Boumediene Airport,ALG
ALH,Albany Airport,ALH
ALI,International,ALI
ALJ,Kortdoorn,ALJ
ALK,Asela,ALK
ALL,Albenga,ALL
ALM,Municipal,ALM
ALN,Alton,ALN
ALO,Waterloo Airport,ALO
ALP,Nejrab,ALP
ALQ,Federal,ALQ
ALR,Alexandra,ALR
ALS,Alamosa Municipal Airport,ALS
ALT,Alenquer,ALT
ALU,Alula,ALU
ALW,Walla Walla Airport,ALW
ALX,Thomas C Russell Field,ALX
ALY,El Nohza,ALY
ALZ,Alitak SPB,ALZ
AMA,Rick Husband Amarillo International Airport,AMA
AMB,Ambilobe,AMB
AMC,Am Timan,AMC
AMD,Ahmedabad Airport,AMD
AME,Alto Molocue,AME
AMF,Ama,AMF
AMG,Amboin,AMG
AMH,Arba Mintch Airport,AMH
AMI,Selaparang,AMI
AMJ,Almenara,AMJ
AMK,Animas Airpark,DRO
AML,Puerto Armuellas,AML
AMM,Queen Alia International Airport,AMM
AMN,Gratiot Community,AMN
AMO,Mao,AMO
AMP,Ampanihy,AMP
AMQ,Pattimura Airport,AMQ
AMR,Arno,AMR
AMS,Amsterdam Airport Schiphol,AMS
AMT,Amata,AMT
AMU,Amanab,AMU
AMV,Amderma,AMV
AMW,Ames,AMW
AMX,Ammaroo,AMX
AMY,Ambatomainty,AMY
AMZ,Ardmore,AMZ
ANA,John Wayne International,ANA
ANB,Anniston Metropolitan,ANB
ANC,Ted Stevens Anchorage International Airport,ANC
AND,Anderson,AND
ANE,Angers-Marce Airport,ANE
ANF,Cerro Moreno International Airport,ANF
ANG,Brie-Champniers,ANG
ANH,Anuha Island Resort,ANH
ANI,Aniak Airport,ANI
ANJ,Zanaga,ANJ
ANK,Etimesgut,ANK
ANL,Andulo,ANL
ANM,Antsirabato,ANM
ANN,Annette Island,ANN
ANO,Angoche,ANO
ANP,Lee,ANP
ANQ,Tri-State Steuben County,ANQ
ANR,Antwerp International Airport,ANR
ANS,Andahuaylas,ANS
ANT,St Anton,ANT
ANU,V.C. Bird International Airport,ANU
ANV,Anvik Airport,ANV
ANW,Ainsworth,ANW
ANX,Andenes Airport,ANX
ANY,Anthony,ANY
ANZ,Angus Downs,ANZ
AOA,Aroa,AOA
AOB,Annanberg,AOB
AOC,Altenburg Nobitz,AOC
AOD,Abou Deia,AOD
AOE,Anadolu University,ESK
AOG,Anshan Teng'ao Airport,AOG
AOH,Allen County,AOH
AOI,Ancona Falconara Airport,AOI
AOJ,Aomori Airport,AOJ
AOK,Karpathos Airport,AOK
AOL,Paso De Los Libres,AOL
AON,Arona,AON
AOO,Altoona Airport,AOO
AOR,Sultan Abdul Halim Airport,AOR
AOS,Amook,AOS
AOT,Corrado Gex,AOT
AOU,Attopeu,AOU
APA,Centennial Airport,DEN
APB,Apolo,APB
APC,Napa County,APC
APE,San Juan Aposento,APE
APF,Naples Municipal Airport,APF
APG,Phillips AAF,APG
APH,Camp A P Hill,APH
API,Apiay,API
APK,Apataki,APK
APL,Nampula Airport,APL
APN,Alpena County Regional Airport,APN
APO,Apartado Airport,APO
APP,Asapa,APP
APQ,Arapiraca,APQ
APR,April River,APR
APS,Anapolis,APS
APT,Marion County,APT
APU,Apucarana,APU
APV,Apple Valley,APV
APW,Faleolo Airport,APW
APX,Arapongas,APX
APY,Alto Parnaiba,APY
APZ,Zapala,APZ
AQA,Araraquara,AQA
AQB,Quiche Airport,AQB
AQG,Anqing Tianzhushan Airport,AQG
AQI,Qaisumah Airport,AQI
AQJ,King Hussein International Airport,AQJ
AQM,Ariquemes,AQM
AQP,Rodriguez Ballon International Airport,AQP
AQS,Saqani,AQS
AQY,Alyeska,AQY
ARA,Acadiana Regional,ARA
ARB,Municipal,ARB
ARC,Arctic Village,ARC
ARD,Alor Island Airport,ARD
ARE,Arecibo,ARE
ARF,Acaricuara,ARF
ARG,Walnut Ridge,ARG
ARH,Talagi Airport,ARH
ARI,Chacalluta Airport,ARI
ARJ,Arso,ARJ
ARK,Arusha Airport,ARK
ARL,Arly,ARL
ARM,Armidale Airport,ARM
ARN,Stockholm Arlanda Airport,STO
ARO,Arboletas,ARO
ARP,Aragip,ARP
ARQ,Arauquita,ARQ
ARR,Alto Rio Senguerr,ARR
ARS,Aragarcas,ARS
ART,Watertown Airport,ART
ARU,Aracatuba Airport,ARU
ARV,Noble F. Lee,ARV
ARW,Arad,ARW
ARX,Asbury Park,ARX
ARY,Ararat,ARY
ASA,Assab International,ASA
ASB,Ashgabat Airport,ASB
ASC,Ascension,ASC
ASD,Andros Town,ASD
ASE,Aspen Airport,ASE
ASF,Astrakhan Airport,ASF
ASG,Ashburton,ASG
ASH,Boire Field,ASH
ASI,Wideawake Field,ASI
ASJ,Amami Airport,ASJ
ASK,Yamoussoukro,ASK
ASL,Harrison County,ASL
ASM,Asmara International Airport,ASM
ASN,Talladega,ASN
ASO,Asosa Airport,ASO
ASP,Alice Springs Airport,ASP
ASQ,Austin,ASQ
ASR,Kayseri Airport,ASR
AST,Astoria,AST
ASU,Silvio Pettirossi International Airport,ASU
ASV,Amboseli,ASV
ASW,Aswan Airport,ASW
ASX,Ashland,ASX
ASY,Ashley,ASY
ASZ,Asirim,ASZ
ATA,Anta,ATA
ATB,Atbara,ATB
ATD,Atoifi,ATD
ATE,Antlers,ATE
ATF,Chachoan,ATF
ATG,Attock,ATG
ATH,Eleftherios Venizelos International Airport,ATH
ATI,Artigas,ATI
ATJ,Antsirabe,ATJ
ATK,Atqasuk Airport,ATK
ATL,Hartsfield-Jackson Atlanta International Airport,ATL
ATM,Altamira Airport,ATM
ATN,Namatanai,ATN
ATO,Ohio University,ATO
ATP,Airstrip,ATP
ATQ,Sri Guru Ram Dass Jee International Airport,ATQ
ATR,Mouakchott,ATR
ATS,Artesia,ATS
ATT,Atmautluak Airport,ATT
ATU,Casco Cove,ATU
ATV,Ati,ATV
ATW,Outagamie County Regional Airport,ATW
ATX,Atbasar,ATX
ATY,Watertown Airport,ATY
ATZ,Assiut Airport,ATZ
AUA,Reina Beatrix International Airport,AUA
AUB,Itauba,AUB
AUC,Arauca Airport,AUC
AUD,Augustus Downs,AUD
AUE,Abu Rudeis,AUE
AUF,Auxerre Branches,AUF
AUG,Augusta Airport,AUG
AUH,Abu Dhabi International Airport,AUH
AUI,Aua Island,AUI
AUJ,Ambunti,AUJ
AUK,Alakanuk Airport,AUK
AUL,Aur Island,AUL
AUM,Austin,AUM
AUN,Auburn,AUN
AUO,Auburn-Opelika,AUO
AUP,Agaun,AUP
AUQ,Hiva Oa Airport,AUQ
AUR,Aurillac Airport,AUR
AUS,Austin-Bergstrom International Airport,AUS
AUT,Atauro,AUT
AUU,Aurukun Mission,AUU
AUV,Aumo,AUV
AUW,Municipal,AUW
AUX,Araguaina Airport,AUX
AUY,Aneityum,AUY
AUZ,Municipal Airport,AUZ
AVA,An Shun/Huang Guo Shu Airport,AVA
AVB,Aviano,AVB
AVG,Auvergne,AVG
AVI,Maximo Gomez,AVI
AVK,Arvaikheer,AVK
AVL,Asheville Regional Airport,AVL
AVN,Avignon-Caumont Airport,AVN
AVO,Municipal,AVO
AVP,Wilkes-Barre/Scranton International Airport,AVP
AVU,Avu Avu,AVU
AVV,Avalon Airport,MEL
AVW,Avra Valley,TUS
AVX,Avalon Bay,AVX
AWA,Awassa,AWA
AWB,Awaba,AWB
AWD,Aniwa,AWD
AWE,Alowe,AWE
AWK,Wake Island,AWK
AWM,Municipal,AWM
AWN,Alton Downs,AWN
AWP,Austral Downs,AWP
AWR,Awar,AWR
AWZ,Ahwaz Airport,AWZ
AXA,Clayton J. Lloyd International Airport,AXA
AXB,Alexandria Bay,AXB
AXC,Aramac,AXC
AXD,Demokritos Airport,AXD
AXE,Xanxere,AXE
AXG,Algona,AXG
AXK,Ataq,AXK
AXL,Alexandria,AXL
AXM,El Eden Airport,AXM
AXN,Alexandria,AXN
AXP,Springpoint Airport,AXP
AXR,Arutua Airport,AXR
AXS,Municipal,LTS
AXT,Akita Airport,AXT
AXU,Axum Airport,AXU
AXV,Neil Armstrong,AXV
AXX,Angel Fire,AXX
AYA,Ayapel,AYA
AYC,Ayacucho,AYC
AYD,Alroy Downs,AYD
AYE,AAF Heliport,AYE
AYG,Yaguara,AYG
AYI,Yari,AYI
AYK,Arkalyk,AYK
AYL,Anthony Lagoon,AYL
AYN,Anyang,AYN
AYO,Ayolas,AYO
AYP,Yanamilla Airport,AYP
AYQ,Connellan Airport,AYQ
AYR,Ayr,AYR
AYS,Ware County,AYS
AYT,Antalya Airport,AYT
AYU,Aiyura,AYU
AYW,Ayawasi,AYW
AYZ,Zahns,AYZ
AZA,Phoenix-Mesa Gateway Airport,PHX
AZB,Amazon Bay,AZB
AZD,Yazd Airport,AZD
AZG,Apatzingan,AZG
AZI,Bateen,AUH
AZN,Andizhan Airport,AZN
AZO,Kalamazoo Battle Creek International Airport,AZO
AZR,Adrar Airport,AZR
AZS,Samaná El Catey International,AZS
AZT,Zapatoca,AZT
AZZ,Ambriz,AZZ
BAA,Bialla,BAA
BAB,Beale AFB,MYV
BAC,Barranca De Upia,BAC
BAD,Barksdale AFB,SHV
BAE,Barcelonnette,BAE
BAF,Barnes,BAF
BAG,Loakan,BAG
BAH,Bahrain International Airport,BAH
BAI,Buenos Aires,BAI
BAJ,Bali,BAJ
BAL,Batman Airport,BAL
BAM,Lander County,BAM
BAN,Basongo,BAN
BAO,Udorn,BAO
BAP,Baibara,BAP
BAQ,E Cortissoz Airport,BAQ
BAR,Baker AAF,BAR
BAS,Balalae,BAS
BAT,Airport Chafei Amsei,BAT
BAU,Bauru,BRI
BAV,Baotou Airport,BAV
BAW,Biawonque,BAW
BAX,Barnaul Airport,BAX
BAY,Baia Mare,BAY
BAZ,Barbelos,BAZ
BBA,Teniente Vidal Airport,BBA
BBB,Municipal,BBB
BBC,Bay City,BBC
BBD,Curtis Field,BBD
BBF,Burlington,BBF
BBG,Butaritari,BBG
BBH,Barth,BBH
BBI,Biju Patnaik International Airport,BBI
BBJ,Bitburg Air Base,BBJ
BBK,Kasane Airport,BBK
BBM,Battambang,BBM
BBN,Bario Airport,BBN
BBO,Berbera,BBO
BBP,Bembridge,BBP
BBQ,Barbuda,BBQ
BBR,Baillif,BBR
BBS,Blackbushe,BBS
BBT,Berberati,BBT
BBU,Baneasa,BUH
BBV,Hkg,BBV
BBW,Broken Bow,BBW
BBX,Wings Field,BBX
BBY,Bambari,BBY
BBZ,Zambezi,BBZ
BCA,Baracoa,BCA
BCB,Virginia Tech,BCB
BCC,Bear Creek,BCC
BCD,Bacolod-Silay International Airport,BCD
BCE,Bryce,BCE
BCF,Bouca,BCF
BCG,Bemichi,BCG
BCH,Cakung International,BCH
BCI,Barcaldine Airport,BCI
BCJ,Baca Grande,BCJ
BCK,Bolwarra,BCK
BCL,Barra Colorado,BCL
BCM,Bacau Airport,BCM
BCN,Barcelona-El Prat Airport,BCN
BCO,Jinka,BCO
BCP,Bambu,BCP
BCQ,Brack,BCQ
BCR,Boca Do Acre,BCR
BCS,Southern Seaplane,BCS
BCT,Public,BCT
BCU,Bauchi,BCU
BCV,Belmopan,BCV
BCW,Benguera Island,BCW
BCX,Beloreck,BCX
BCY,Bulchi,BCY
BCZ,Bickerton Island,BCZ
BDA,L.F. Wade International Airport,BDA
BDB,Bundaberg Airport,BDB
BDC,Barra Do Corda,BDC
BDD,Badu Island,BDD
BDE,Baudette,BDE
BDF,Rinkenberger,BDF
BDG,Blanding,BDG
BDH,Bandar Lengeh,BDH
BDI,Bird Island,BDI
BDJ,Syamsudin Noor International Airport,BDJ
BDK,Bondoukou,BDK
BDL,Bradley International Airport,BDL
BDM,Bandirma,BDM
BDN,Talhar,BDN
BDO,Husein Sastranegara Airport,BDO
BDP,Bhadrapur Airport,BDP
BDQ,Vadodara Airport,BDQ
BDR,Igor I. Sikorsky Memorial,BDR
BDS,Brindisi - Salento Airport,BDS
BDT,Gbadolite,BDT
BDU,Bardufoss Airport,BDU
BDV,Moba,BDV
BDW,Bedford Downs,BDW
BDX,Broadus,BDX
BDY,State,BDY
BDZ,Baindoung,BDZ
BEA,Bereina,BEA
BEB,Benbecula Airport,BEB
BEC,Beech,ICT
BED,Hanscom Field,BED
BEE,Beagle Bay,BEE
BEF,Bluefields,BEF
BEG,Belgrad Nikola Tesla Airport,BEG
BEH,Ross Field,BEH
BEI,Beica,BEI
BEJ,Kalimarau Airport,BEJ
BEK,Bareli,BEK
BEL,Val De Cans International Airport,BEL
BEN,Benina International,BEN
BEO,Belmont,NTL
BEP,Bellary,BEP
BEQ,Honington,BEQ
BES,Brest Bretagne Airport,BES
BET,Bethel Airport,BET
BEU,Bedourie,BEU
BEV,Beer Sheba,BEV
BEW,Beira Airport,BEW
BEX,Benson (RAF Station),BEX
BEY,Beirut-Rafic Hariri International Airport,BEY
BEZ,Beru,BEZ
BFA,Bahia Negra,BFA
BFB,Blue Fox Bay,BFB
BFC,Bloomfield,BFC
BFD,Bradford Airport,BFD
BFE,Bielefeld,BFE
BFF,Western Nebraska Regional Airport,BFF
BFG,Bullfrog Basin,BFG
BFH,Bacacheri,BFH
BFI,Boeing Field International Airport,SEA
BFK,Buffalo Municipal Airport,DEN
BFL,Meadows Field Airport,BFL
BFM,Mobile Downtown Airport,MOB
BFN,Bram Fischer International Airport,BFN
BFO,Buffalo Range,BFO
BFP,Beaver Falls,BFP
BFQ,Bahia Pinas,BFQ
BFR,Virgil I Grissom Municipalcipal,BFR
BFS,Belfast International Airport,BFS
BFT,County,BFT
BFU,Bengbu,BFU
BFV,Buri Ram Airport,BFV
BFW,Sidi Belabbes,BFW
BFX,Bafoussam,BFX
BGA,Palonegro International Airport,BGA
BGB,Booue,BGB
BGC,Braganca Airport,BGC
BGD,Borger,BGD
BGE,Decatur County,BGE
BGF,Bangui Airport,BGF
BGG,Bingol Airport,BGG
BGH,Abbaye,BGH
BGI,Grantley Adams International Airport,BGI
BGJ,Borgarfjordur Eystri,BGJ
BGK,Big Creek,BGK
BGL,Baglung,BGL
BGM,Greater Binghamton Airport,BGM
BGO,Bergen Airport,BGO
BGP,Bongo,BGP
BGQ,Big Lake,BGQ
BGR,Bangor International Airport,BGR
BGS,Webb AFB,HCA
BGT,Bagdad,BGT
BGU,Bangassou,BGU
BGV,Bento Goncalves,BGV
BGW,Baghdad International Airport,BGW
BGX,Airport Cmdt. Gustavo Kraemer,BGX
BGY,Orio al Serio International Airport,MIL
BGZ,Braga,BGZ
BHA,Bahia De Caraquez,BHA
BHB,Bar Harbor Airport,BHB
BHC,Bhurban Heliport,BHC
BHD,George Best Belfast City Airport,BFS
BHE,Woodbourne Airport,BHE
BHF,Bahia Cupica,BHF
BHG,Brus Laguna,BHG
BHH,Bisha Airport,BHH
BHI,Comandante Airport,BHI
BHJ,Rudra Mata Airport,BHJ
BHK,Bukhara Airport,BHK
BHL,Bahia Angeles,BHL
BHM,Birmingham-Shuttlesworth International Airport,BHM
BHN,Beihan,BHN
BHO,Raja Bhoj Airport,BHO
BHP,Bhojpur,BHP
BHQ,Broken Hill Airport,BHQ
BHR,Bharatpur Airport,BHR
BHS,Raglan Airport,BHS
BHT,Brighton Downs,BHT
BHU,Bhavnagar Airport,BHU
BHV,Bahawalpur Airport,BHV
BHW,Bhagatanwala Airport,SGI
BHX,Birmingham International Airport,BHX
BHY,Beihai Fucheng Airport,BHY
BIA,Bastia Poretta Airport,BIA
BIB,Baidoa,BIB
BIC,Big Creek,BIC
BID,Block Island,BID
BIE,Beatrice,BIE
BIF,Biggs AAF,ELP
BIG,Intermediate Field,BIG
BIH,Bishop,BIH
BII,Enyu Airfield,BII
BIJ,Biliau,BIJ
BIK,Mokmer Airport,BIK
BIL,Billings Logan International Airport,BIL
BIM,Bimini International Airport,BIM
BIN,Bamiyan,BIN
BIO,Bilbao Airport,BIO
BIP,Bulimba,BIP
BIQ,Biarritz - Anglet - Bayonne Airport,BIQ
BIR,Biratnagar Airport,BIR
BIS,Bismarck Airport,BIS
BIT,Baitadi,BIT
BIU,Bildudalur,BIU
BIV,Bria,BIV
BIW,Billiluna,BIW
BIX,Keesler AFB,BIX
BIY,Bisho,BIY
BIZ,Bimin,BIZ
BJA,Bejaia Airport,BJA
BJB,Bojnord,BJB
BJC,Jeffco,BJC
BJD,Bakkafjordur,BJD
BJF,Batsfjord Airport,BJF
BJG,Bolaang,BJG
BJH,Bajhang,BJH
BJI,Bemidji Airport,BJI
BJJ,Wayne County,BJJ
BJK,Benjina,BJK
BJL,Yundum International Airport,BJL
BJM,Bujumbura International Airport,BJM
BJN,Bajone,BJN
BJO,Bermejo,BJO
BJP,Braganca Paulista,BJP
BJR,Bahar Dar Airport,BJR
BJT,Bentota River,BJT
BJU,Bajura Airport,BJU
BJV,Milas-Bodrum Airport,BJV
BJW,Bajawa Soa Airport,BJW
BJX,Guanajuato International Airport,BJX
BJY,Batajnica,BEG
BJZ,Badajoz Airport,BJZ
BKA,Bykovo,MOW
BKB,Bikaner,BKB
BKC,Buckland Airport,BKC
BKD,Stephens County,BKD
BKE,Baker,BKE
BKF,Lake Brooks SPB,BKF
BKG,Branson,BKG
BKH,Barking Sands PMRF,BKH
BKI,Kota Kinabalu International Airport,BKI
BKJ,Boke,BKJ
BKK,Suvarnabhumi Airport,BKK
BKL,Burke Lakefront Airport,CLE
BKM,Bakalalan,BKM
BKO,Bamako-Senou International Airport,BKO
BKP,Barkly Downs,BKP
BKQ,Blackall Airport,BKQ
BKR,Bokoro,BKR
BKS,Fatmawati Soekarno Airport,BKS
BKT,Blackstone AAF,BKT
BKU,Betioky,BKU
BKW,Beckley Airport,BKW
BKX,Brookings,BKX
BKY,Kavumu,BKY
BKZ,Bukoba Airport,BKZ
BLA,General Jose Antonio Anzoategui International Airport,BLA
BLB,Panama Pacifico Airport,BLB
BLC,Bamenda,BLC
BLD,Boulder City,LAS
BLE,Dala Airport,BLE
BLF,Princeton,BLF
BLG,Belaga,BLG
BLH,Blythe,BLH
BLI,Bellingham International Airport,BLI
BLJ,Batna Airport,BLJ
BLK,Blackpool Airport,BLK
BLL,Billund Airport,BLL
BLM,Monmouth Executive Airport,BLM
BLN,Benalla,BLN
BLO,Blonduos,BLO
BLP,Bellavista,BLP
BLQ,Guglielmo Marconi Airport,BLQ
BLR,Kempegowda International Airport,BLR
BLS,Bollon,BLS
BLT,Blackwater,BLT
BLU,Blue Canyon,BLU
BLV,Belleville,BLV
BLW,Bellows Field,BLW
BLX,Belluno,BLX
BLY,Belmullet,BLY
BLZ,Chileka Airport,BLZ
BMA,Bromma Airport,STO
BMB,Bumba,BMB
BMC,Brigham City,BMC
BMD,Belo,BMD
BME,Broome Airport,BME
BMF,Bakouma,BMF
BMG,Bloomington,BMG
BMH,Bomai,BMH
BMI,Central Illinois Regional Airport,BMI
BMJ,Baramita,BMJ
BMK,Borkum,BMK
BML,Berlin Municipal Airport,BML
BMM,Bitam,BMM
BMN,Bamerny,BMN
BMO,Bhamo,BMO
BMP,Brampton Island,BMP
BMQ,Bamburi,BMQ
BMR,Baltrum,BMR
BMS,Brumado,BMS
BMT,Beaumont Municipalcipal,BPT
BMU,Sultan Muhammad Salahuddin Airport,BMU
BMV,Phung-Duc Airport,BMV
BMW,Bordj Badji Mokhtar,BMW
BMX,Big Mountain,BMX
BMY,Belep Island,BMY
BMZ,Bamu,BMZ
BNA,Nashville International Airport,BNA
BNB,Boende,BNB
BNC,Beni,BNC
BND,Bandar Abbas International Airport,BND
BNE,Brisbane Airport,BNE
BNF,Warm Spring Bay SPB,BNF
BNG,Banning,BNG
BNH,Barnes,HFD
BNI,Benin City Airport,BNI
BNK,Ballina Byron Airport,BNK
BNL,Barnwell Regional,BNL
BNM,Bodinumu,BNM
BNN,Bronnoysund,BNN
BNO,Burns,BNO
BNP,Bannu,BNP
BNQ,Baganga,BNQ
BNR,Banfora,BNR
BNS,Barinas,BNS
BNT,Bundi,BNT
BNU,Blumenau,BNU
BNV,Boana,BNV
BNW,Boone,BNW
BNX,Banja Luka Airport,BNX
BNY,Bellona,BNY
BNZ,Banz,BNZ
BOA,Boma,BOA
BOB,Motu Mute Airport,BOB
BOC,Bocas Del Toro,BOC
BOD,Bordeaux Airport,BOD
BOE,Boundji,BOE
BOF,Bolling AFB,WAS
BOG,El Dorado International Airport,BOG
BOH,Bournemouth Airport,BOH
